"customerkey","geographykey","customeralternatekey","customer_name","age","email_id","yearlyincome","address","phone","datefirstpurchase"
11046,6,"AW00011046","Christine   Yuan","68","christine4@adventure-works.com","30000.00","2356 Orange St","1 (11) 500 555-0113","2020-02-06"
11047,34,"AW00011047","Jaclyn D Lu","68","jaclyn12@adventure-works.com","30000.00","2812 Mazatlan","1 (11) 500 555-0137","2020-02-03"
11048,39,"AW00011048","Jeremy   Powell","67","jeremy26@adventure-works.com","30000.00","1803 Potomac Dr.","1 (11) 500 555-0183","2020-02-10"
11049,307,"AW00011049","Carol C Rai","38","carol8@adventure-works.com","40000.00","6064 Madrid","654-555-0180","2022-03-09"
11050,31,"AW00011050","Alan   Zheng","67","alan23@adventure-works.com","30000.00","2741 Gainborough Dr.","1 (11) 500 555-0135","2020-02-20"
11051,21,"AW00011051","Daniel   Johnson","67","daniel18@adventure-works.com","30000.00","8085 Sunnyvale Avenue","1 (11) 500 555-0155","2022-12-29"
11052,8,"AW00011052","Heidi   Lopez","67","heidi19@adventure-works.com","40000.00","2514 Via Cordona","1 (11) 500 555-0168","2020-02-17"
11053,359,"AW00011053","Ana E Price","38","ana0@adventure-works.com","60000.00","1660 Stonyhill Circle","859-555-0113","2022-01-17"
11054,34,"AW00011054","Deanna   Munoz","66","deanna33@adventure-works.com","40000.00","5825 B Way","1 (11) 500 555-0192","2020-02-03"
11055,22,"AW00011055","Gilbert   Raje","66","gilbert35@adventure-works.com","40000.00","8811 The Trees Dr.","1 (11) 500 555-0129","2020-01-31"
11056,10,"AW00011056","Michele L Nath","65","michele19@adventure-works.com","40000.00","5464 Janin Pl.","1 (11) 500 555-0178","2020-02-26"
11057,5,"AW00011057","Carl J Andersen","54","carl12@adventure-works.com","70000.00","6930 Lake Nadine Place","1 (11) 500 555-0181","2020-02-22"
11058,29,"AW00011058","Marc   Diaz","58","marc6@adventure-works.com","80000.00","6645 Sinaloa","1 (11) 500 555-0149","2020-03-09"
11059,27,"AW00011059","Ashlee J Andersen","64","ashlee19@adventure-works.com","80000.00","8255 Highland Road","1 (11) 500 555-0112","2022-02-18"
11060,40,"AW00011060","Jon L Zhou","64","jon28@adventure-works.com","80000.00","6574 Hemlock Ave.","1 (11) 500 555-0174","2020-03-19"
11061,23,"AW00011061","Todd M Gao","48","todd14@adventure-works.com","80000.00","8808 Geneva Ave","1 (11) 500 555-0191","2020-03-13"
11062,547,"AW00011062","Noah D Powell","43","noah5@adventure-works.com","40000.00","9794 Marion Ct","767-555-0113","2022-01-07"
11063,634,"AW00011063","Angela   Murphy","43","angela41@adventure-works.com","40000.00","4927 Virgil Street","451-555-0162","2022-01-12"
11064,315,"AW00011064","Chase   Reed","42","chase21@adventure-works.com","40000.00","2721 Alexander Pl.","892-555-0184","2022-01-25"
11065,331,"AW00011065","Jessica   Henderson","45","jessica29@adventure-works.com","60000.00","9343 Ironwood Way","278-555-0186","2022-02-10"
11066,543,"AW00011066","Grace T Butler","44","grace62@adventure-works.com","70000.00","4739 Garden Ave.","712-555-0141","2022-05-31"
11067,632,"AW00011067","Caleb F Carter","42","caleb40@adventure-works.com","60000.00","9563 Pennsylvania Blvd.","944-555-0167","2022-08-18"
11068,40,"AW00011068","Tiffany   Liang","57","tiffany17@adventure-works.com","80000.00","3608 Sinclair Avenue","1 (11) 500 555-0177","2022-04-30"
11069,23,"AW00011069","Carolyn   Navarro","57","carolyn30@adventure-works.com","80000.00","4606 Springwood Court","1 (11) 500 555-0145","2020-04-17"
11070,39,"AW00011070","Willie T Raji","63","willie40@adventure-works.com","80000.00","6260 Vernal Drive","1 (11) 500 555-0151","2020-04-28"
11071,24,"AW00011071","Linda   Serrano","63","linda31@adventure-works.com","80000.00","9808 Shaw Rd.","1 (11) 500 555-0130","2022-03-01"
11072,17,"AW00011072","Casey   Luo","63","casey6@adventure-works.com","80000.00","9513 Roslyn Drive","1 (11) 500 555-0125","2020-03-31"
11073,16,"AW00011073","Amy   Ye","62","amy16@adventure-works.com","70000.00","2262 Kirkwood Ct.","1 (11) 500 555-0185","2022-03-23"
11074,28,"AW00011074","Levi A Arun","62","levi6@adventure-works.com","70000.00","4661 Bluetail","1 (11) 500 555-0127","2022-03-23"
11075,32,"AW00011075","Felicia L Jimenez","60","felicia4@adventure-works.com","80000.00","786 Eastgate Ave","1 (11) 500 555-0165","2020-04-28"
11076,19,"AW00011076","Blake   Anderson","61","blake9@adventure-works.com","80000.00","5436 Clear","1 (11) 500 555-0113","2020-04-21"
11077,36,"AW00011077","Leah   Ye","61","leah7@adventure-works.com","80000.00","1291 Arguello Blvd.","1 (11) 500 555-0154","2020-04-15"
11078,49,"AW00011078","Gina E Martin","39","gina1@adventure-works.com","40000.00","1349 Sol St.","196-555-0114","2022-02-15"
11079,34,"AW00011079","Donald   Gonzalez","54","donald20@adventure-works.com","160000.00","4236 Malibu Place","1 (11) 500 555-0137","2022-03-15"
11080,30,"AW00011080","Damien   Chander","59","damien32@adventure-works.com","170000.00","9941 Stonehedge Dr.","1 (11) 500 555-0111","2020-04-10"
11081,311,"AW00011081","Savannah C Baker","52","savannah39@adventure-works.com","120000.00","1210 Trafalgar Circle","478-555-0117","2022-02-12"
11082,322,"AW00011082","Angela L Butler","52","angela17@adventure-works.com","130000.00","6040 Listing Ct","579-555-0195","2022-01-22"
11083,336,"AW00011083","Alyssa F Cox","47","alyssa37@adventure-works.com","130000.00","867 La Orinda Place","561-555-0140","2022-01-06"
11084,543,"AW00011084","Lucas   Phillips","61","lucas7@adventure-works.com","80000.00","8668 St. Celestine Court","863-555-0172","2022-01-04"
11085,345,"AW00011085","Emily   Johnson","61","emily1@adventure-works.com","60000.00","7926 Stephanie Way","850-555-0184","2022-12-06"
11086,369,"AW00011086","Ryan   Brown","60","ryan43@adventure-works.com","70000.00","2939 Wesley Ct.","539-555-0198","2022-07-02"
11087,307,"AW00011087","Tamara L Liang","61","tamara6@adventure-works.com","70000.00","3791 Rossmor Parkway","178-555-0152","2022-02-25"
11088,359,"AW00011088","Hunter   Davis","60","hunter64@adventure-works.com","80000.00","4308 Sand Pointe Lane","612-555-0141","2022-01-13"
11089,337,"AW00011089","Abigail M Price","61","abigail25@adventure-works.com","80000.00","2685 Blackburn Ct","532-555-0117","2021-12-29"
11090,338,"AW00011090","Trevor   Bryant","55","trevor18@adventure-works.com","90000.00","5781 Sharon Dr.","853-555-0174","2020-08-07"
11091,50,"AW00011091","Dalton   Perez","61","dalton37@adventure-works.com","90000.00","6083 San Jose","559-555-0115","2022-01-29"
11092,22,"AW00011092","Cheryl A Diaz","51","cheryl4@adventure-works.com","90000.00","7297 Kaywood Drive","1 (11) 500 555-0192","2020-04-08"
11093,19,"AW00011093","Aimee A He","45","aimee13@adventure-works.com","100000.00","1833 Olympic Drive","1 (11) 500 555-0161","2020-04-07"
11094,33,"AW00011094","Cedric W Ma","56","cedric15@adventure-works.com","70000.00","3407 Oak Brook Place","1 (11) 500 555-0115","2022-04-07"
11095,13,"AW00011095","Chad   Kumar","56","chad9@adventure-works.com","70000.00","1681 Lighthouse Way","1 (11) 500 555-0151","2020-04-01"
11096,12,"AW00011096","Andrés   Anand","56","andrés18@adventure-works.com","60000.00","5423 Los Gatos Ct.","1 (11) 500 555-0184","2020-04-11"
11097,40,"AW00011097","Edwin R Nara","51","edwin39@adventure-works.com","60000.00","719 William Way","1 (11) 500 555-0112","2020-04-04"
11098,14,"AW00011098","Mallory S Rubio","57","mallory7@adventure-works.com","60000.00","6452 Harris Circle","1 (11) 500 555-0157","2022-02-11"
11099,13,"AW00011099","Adam   Ross","57","adam2@adventure-works.com","60000.00","4378 Westminster Place","1 (11) 500 555-0186","2020-04-07"
11100,28,"AW00011100","Latasha L Navarro","58","latasha10@adventure-works.com","60000.00","6954 Ranch Road","1 (11) 500 555-0123","2020-04-16"
11101,33,"AW00011101","Abby L Sai","53","abby4@adventure-works.com","70000.00","7074 N. Spoonwood Court","1 (11) 500 555-0174","2020-04-29"
11102,18,"AW00011102","Julia L Nelson","53","julia7@adventure-works.com","80000.00","2196 Coat Ct.","1 (11) 500 555-0124","2022-07-16"
11103,3,"AW00011103","Cassie   Chande","43","cassie13@adventure-works.com","70000.00","9448 San Marino Ct.","1 (11) 500 555-0166","2020-04-15"
11104,23,"AW00011104","Edgar A Sara","49","edgar11@adventure-works.com","70000.00","6127 Lilly Lane","1 (11) 500 555-0125","2020-05-04"
11105,8,"AW00011105","Candace   Fernandez","53","candace15@adventure-works.com","70000.00","5029 Blue Ridge","1 (11) 500 555-0162","2020-05-14"
11106,40,"AW00011106","Jessie   Liu","54","jessie9@adventure-works.com","70000.00","3063 Blue Jay Drive","1 (11) 500 555-0163","2020-05-18"
11107,17,"AW00011107","Bianca   Lin","48","bianca7@adventure-works.com","90000.00","7530 Eola","1 (11) 500 555-0121","2020-05-01"
11108,13,"AW00011108","Kari C Alvarez","55","kari25@adventure-works.com","70000.00","9178 Thornhill Place","1 (11) 500 555-0169","2020-05-03"
11109,38,"AW00011109","Ruben D Kapoor","43","ruben1@adventure-works.com","70000.00","1984 Glendale Circle","1 (11) 500 555-0132","2020-05-10"
11110,3,"AW00011110","Curtis   Yang","56","curtis5@adventure-works.com","60000.00","4052 Mt. Wilson Way","1 (11) 500 555-0127","2020-05-01"
11111,34,"AW00011111","Meredith T Gutierrez","56","meredith34@adventure-works.com","60000.00","7610 Northridge Ct.","1 (11) 500 555-0179","2020-05-20"
11112,25,"AW00011112","Crystal C Wang","56","crystal3@adventure-works.com","60000.00","2773 Kirkwood Dr","1 (11) 500 555-0134","2020-05-25"
11113,30,"AW00011113","Micheal A Blanco","51","micheal11@adventure-works.com","70000.00","596 Marfargoa Drive","1 (11) 500 555-0131","2022-02-01"
11114,14,"AW00011114","Leslie C Moreno","56","leslie7@adventure-works.com","70000.00","7941 Cristobal","1 (11) 500 555-0115","2022-03-18"
11115,17,"AW00011115","Alvin D Cai","56","alvin20@adventure-works.com","70000.00","7759 Azalea Avenue","1 (11) 500 555-0191","2022-02-10"
11116,18,"AW00011116","Clinton E Carlson","45","clinton14@adventure-works.com","70000.00","7943 Cunha Ct.","1 (11) 500 555-0184","2022-03-15"
11117,8,"AW00011117","April   Deng","57","april1@adventure-works.com","70000.00","485 Ash Lane","1 (11) 500 555-0182","2020-05-06"
11118,6,"AW00011118","Alvin M Zeng","61","alvin21@adventure-works.com","80000.00","3853 Wildcat Circle","1 (11) 500 555-0174","2022-07-10"
11119,13,"AW00011119","Evan V James","83","evan8@adventure-works.com","30000.00","4157 Sierra Ridge","1 (11) 500 555-0187","2022-02-03"
11120,18,"AW00011120","Beth H Jiménez","82","beth8@adventure-works.com","40000.00","7401 Las Palmas","1 (11) 500 555-0164","2020-05-14"
11121,10,"AW00011121","Orlando   Suarez","57","orlando19@adventure-works.com","70000.00","7743 Hames Dr","1 (11) 500 555-0198","2022-06-24"
11122,12,"AW00011122","Byron   Vazquez","58","byron9@adventure-works.com","70000.00","3187 Hackamore Lane","1 (11) 500 555-0136","2022-02-21"
11123,39,"AW00011123","Philip A Alvarez","58","philip4@adventure-works.com","70000.00","2775 Mt. Olivet Pl.","1 (11) 500 555-0191","2022-04-17"
11124,40,"AW00011124","Ross F Jordan","55","ross1@adventure-works.com","80000.00","6973 Dublin Court","1 (11) 500 555-0126","2020-05-05"
11125,37,"AW00011125","Dana J Navarro","62","dana2@adventure-works.com","70000.00","8481 Zartop Street","1 (11) 500 555-0172","2022-01-31"
11126,11,"AW00011126","Shaun   Carson","69","shaun16@adventure-works.com","10000.00","57 Wolf Way","1 (11) 500 555-0155","2020-05-28"
11127,361,"AW00011127","Jan   Edwards","43","jan11@adventure-works.com","40000.00","9409 The Alameda","111-555-0118","2022-04-10"
11128,635,"AW00011128","Samantha   Long","42","samantha35@adventure-works.com","40000.00","1606 Alderwood Lane","175-555-0139","2022-06-19"
11129,638,"AW00011129","Julia M Wright","43","julia17@adventure-works.com","40000.00","7397 Central Blvd.","456-555-0174","2020-08-06"
11130,543,"AW00011130","Caroline L Russell","38","caroline21@adventure-works.com","30000.00","3884 Bates Court","424-555-0137","2022-12-09"
11131,50,"AW00011131","Amanda   Rivera","38","amanda7@adventure-works.com","30000.00","9573 Royal Oak Rd.","918-555-0126","2022-10-18"
11132,51,"AW00011132","Melissa E Richardson","37","melissa31@adventure-works.com","30000.00","6832 Fruitwood Dr","928-555-0118","2022-04-09"
11133,542,"AW00011133","Angela   Griffin","38","angela23@adventure-works.com","30000.00","3828 Baltic Sea Ct","598-555-0174","2022-12-30"
11134,30,"AW00011134","Larry D Townsend","67","larry14@adventure-works.com","10000.00","7034 Carson","1 (11) 500 555-0130","2020-05-03"
11135,302,"AW00011135","Marcus L Harris","38","marcus14@adventure-works.com","30000.00","9068 Quiet Place Drive","442-555-0119","2022-04-18"
11136,53,"AW00011136","Brianna D Morgan","39","brianna30@adventure-works.com","40000.00","9005 Eagle Ct.","954-555-0117","2022-01-03"
11137,641,"AW00011137","Jasmine A Taylor","40","jasmine7@adventure-works.com","40000.00","2457 Matterhorn Court","557-555-0146","2022-07-31"
11138,325,"AW00011138","Lauren   Davis","40","lauren23@adventure-works.com","40000.00","8105 Pembrook Court","832-555-0121","2022-09-19"
11139,28,"AW00011139","Tanya   Moreno","74","tanya2@adventure-works.com","30000.00","6155 Wilbur Drive","1 (11) 500 555-0185","2022-09-14"
11140,301,"AW00011140","Javier L Alvarez","41","javier1@adventure-works.com","30000.00","8935 Etcheverry Dr.","763-555-0134","2022-03-19"
11141,314,"AW00011141","Nicole   Ramirez","41","nicole42@adventure-works.com","40000.00","1101 C Street","152-555-0162","2022-05-16"
11142,51,"AW00011142","Eduardo   Patterson","41","eduardo55@adventure-works.com","40000.00","6255 Macalvey Dr.","190-555-0184","2022-02-13"
11143,334,"AW00011143","Jonathan M Henderson","41","jonathan4@adventure-works.com","40000.00","165 East Lane Road","149-555-0113","2022-06-15"
11144,607,"AW00011144","Edward   Hernandez","39","edward48@adventure-works.com","40000.00","7607 Pine Hollow Road","178-555-0196","2022-01-25"
11145,536,"AW00011145","Jasmine L Coleman","38","jasmine46@adventure-works.com","40000.00","1961 Oak Grove Road","857-555-0115","2022-01-25"
11146,8,"AW00011146","Karla L Goel","79","karla20@adventure-works.com","40000.00","3272 Corrie Lane","1 (11) 500 555-0137","2022-02-05"
11147,40,"AW00011147","Ernest L Wu","79","ernest6@adventure-works.com","60000.00","1832 RiverRock Dr","1 (11) 500 555-0139","2020-05-13"
11148,22,"AW00011148","Ross   Vazquez","77","ross32@adventure-works.com","40000.00","1201 Paso Del Rio Way","1 (11) 500 555-0163","2022-03-07"
11149,25,"AW00011149","Theodore   Gill","77","theodore14@adventure-works.com","40000.00","9120 Pinewood Court","1 (11) 500 555-0194","2022-06-04"
11150,39,"AW00011150","Russell M Shen","77","russell6@adventure-works.com","40000.00","4755 Easley Drive","1 (11) 500 555-0191","2022-03-27"
11151,18,"AW00011151","Melinda G Gill","76","melinda9@adventure-works.com","60000.00","805 Rainier Dr.","1 (11) 500 555-0117","2020-05-15"
11152,633,"AW00011152","James J Williams","42","james77@adventure-works.com","40000.00","6827 Seagull Court","355-555-0153","2022-01-09"
11153,635,"AW00011153","Angela R James","42","angela34@adventure-works.com","40000.00","8877 Weatherly Drive","847-555-0111","2022-03-29"
11154,553,"AW00011154","Megan G Walker","42","megan25@adventure-works.com","40000.00","6898 Holiday Hills","918-555-0186","2022-01-10"
11155,301,"AW00011155","Hunter J Robinson","42","hunter50@adventure-works.com","40000.00","8356 Mori Court","891-555-0125","2022-01-06"
11156,334,"AW00011156","Maria   Roberts","42","maria47@adventure-works.com","40000.00","9452 Mariposa Ct.","158-555-0199","2022-01-08"
11157,642,"AW00011157","Hannah E Long","43","hannah32@adventure-works.com","40000.00","1832 Preston Ct.","974-555-0177","2022-07-24"
11158,361,"AW00011158","Jason K Wright","43","jason46@adventure-works.com","40000.00","6771 Bundros Court","694-555-0176","2022-01-19"
11159,385,"AW00011159","Brianna A Hughes","43","brianna57@adventure-works.com","40000.00","6793 Bonifacio St.","319-555-0183","2022-09-08"
11160,311,"AW00011160","Maurice M Tang","44","maurice4@adventure-works.com","40000.00","2886 Chaparral Court","947-555-0172","2022-02-21"
11161,311,"AW00011161","Emily   Wood","44","emily27@adventure-works.com","40000.00","1562 Black Walnut","184-555-0114","2022-06-01"
11162,331,"AW00011162","Chase   Cox","44","chase10@adventure-works.com","40000.00","P.O. Box 8070","764-555-0116","2022-02-18"
11163,372,"AW00011163","Gabriel   Wang","43","gabriel21@adventure-works.com","40000.00","8002 Crane Court","617-555-0150","2022-05-01"
11164,374,"AW00011164","Devin   Brooks","44","devin63@adventure-works.com","40000.00","4231 Highland Dr.","502-555-0138","2022-04-27"
11165,348,"AW00011165","Jocelyn   Alexander","45","jocelyn18@adventure-works.com","60000.00","3376 Bank Way","354-555-0134","2022-05-25"
11166,631,"AW00011166","Ashley   Martinez","46","ashley18@adventure-works.com","70000.00","6993 Whyte Park Ave.","131-555-0194","2022-10-14"
11167,618,"AW00011167","Jasmine J Barnes","46","jasmine43@adventure-works.com","80000.00","9183 Via Del Sol","178-555-0156","2022-01-07"
11168,348,"AW00011168","David   Rodriguez","50","david83@adventure-works.com","80000.00","38 Shangri-la Rd.","730-555-0128","2022-01-15"
11169,312,"AW00011169","Bryce   Richardson","50","bryce8@adventure-works.com","90000.00","1841 Blackwood Drive","178-555-0176","2022-05-26"
11170,612,"AW00011170","Carol T Howard","50","carol5@adventure-works.com","90000.00","6281 Edward Ave","845-555-0127","2022-08-26"
11171,385,"AW00011171","Jonathan E Hill","45","jonathan43@adventure-works.com","100000.00","3731 Chinquapin Ct","134-555-0196","2020-08-20"
11172,626,"AW00011172","Gabrielle J Adams","50","gabrielle58@adventure-works.com","100000.00","5621 Arcadia Pl.","403-555-0152","2022-05-03"
11173,552,"AW00011173","Sarah F Thomas","51","sarah13@adventure-works.com","110000.00","5636 Mt. Whitney Dr.","868-555-0188","2022-03-02"
11174,338,"AW00011174","Nicholas   Robinson","51","nicholas19@adventure-works.com","110000.00","1318 Lasalle Street","949-555-0138","2022-07-13"
11175,300,"AW00011175","Luis   Wang","55","luis24@adventure-works.com","70000.00","6943 Patterson Blvd.","418-555-0127","2020-08-28"
11176,50,"AW00011176","Mason D Roberts","45","mason25@adventure-works.com","90000.00","5753 Megan Dr.","539-555-0162","2022-02-02"
11177,359,"AW00011177","Jose M Flores","76","jose6@adventure-works.com","110000.00","3991 Rambling Rose Drive","157-555-0182","2022-03-29"
11178,334,"AW00011178","Nathan J Johnson","69","nathan55@adventure-works.com","100000.00","8927 Daylight Place","117-555-0182","2022-02-21"
11179,300,"AW00011179","Molly E Rodriguez","64","molly18@adventure-works.com","120000.00","5556 Riverland Dr.","135-555-0185","2022-03-12"
11180,307,"AW00011180","April   Anand","75","april18@adventure-works.com","160000.00","3531 Brookview Drive","702-555-0144","2022-03-17"
11181,338,"AW00011181","Devin P Martin","64","devin13@adventure-works.com","170000.00","1085 Greenbelt Way","735-555-0197","2022-05-07"
11182,638,"AW00011182","Stephanie   Torres","74","stephanie19@adventure-works.com","70000.00","6968 Mildred Ln.","567-555-0176","2022-08-28"
11183,368,"AW00011183","Jasmine W Lee","74","jasmine19@adventure-works.com","70000.00","7502 Contuti Avenue","147-555-0199","2022-04-30"
11184,311,"AW00011184","Meghan   Hernandez","68","meghan3@adventure-works.com","70000.00","5872 L St.","967-555-0188","2022-08-10"
11185,53,"AW00011185","Ashley   Henderson","74","ashley31@adventure-works.com","70000.00","8834 San Jose Ave.","173-555-0121","2022-02-21"
11186,352,"AW00011186","Sarah C Price","74","sarah25@adventure-works.com","70000.00","4815 Paraiso Ct.","180-555-0133","2022-10-18"
11187,612,"AW00011187","Jennifer S Cooper","74","jennifer63@adventure-works.com","60000.00","2429 Longview Road","857-555-0111","2022-04-03"
11188,361,"AW00011188","Catherine   Morris","74","catherine16@adventure-works.com","60000.00","6542 Stonewood Drive","795-555-0117","2022-11-01"
11189,609,"AW00011189","Lawrence W Blanco","74","lawrence14@adventure-works.com","60000.00","7502 Contuti Avenue","656-555-0171","2020-08-26"
11190,300,"AW00011190","Carson   Bryant","74","carson17@adventure-works.com","70000.00","2995 Youngsdale Dr.","240-555-0142","2022-08-28"
11191,310,"AW00011191","Kristi E Perez","72","kristi39@adventure-works.com","70000.00","1769 Lislin Ct","123-555-0181","2020-08-11"
11192,637,"AW00011192","James C Brown","73","james79@adventure-works.com","60000.00","673 Old Mountain View Dr.","725-555-0117","2022-06-23"
11193,553,"AW00011193","Ian A Gray","73","ian72@adventure-works.com","60000.00","5941 Gill Dr.","596-555-0190","2022-02-25"
11194,352,"AW00011194","Jacqueline R Price","73","jacqueline0@adventure-works.com","60000.00","872 Mark Twain Dr","266-555-0112","2022-03-13"
11195,635,"AW00011195","Megan   Henderson","72","megan55@adventure-works.com","60000.00","8411 Mt. Olivet Place","560-555-0150","2022-04-14"
11196,536,"AW00011196","Alfredo   Romero","72","alfredo10@adventure-works.com","60000.00","2499 Greendell Pl","342-555-0110","2022-03-03"
